key,project_name,organization_name,lg_code,prefecture_name,cft_issue_year,cft_issue_date,external_document_uri,review_decision,suggested_it_tag,review_notes
c2VhcmNoL3BfcG9ydGFsLzIwMjQvMDMvMjAyNDAzMDRfMjQxNTcK,令和６年度京セラ製電子複写機・複合機の保守業務委託（単価契約）（再度公告）,厚生労働省,40,福岡県,2024,2024-03-04T00:00:00+09:00,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,,,
ZnVrdW9rYS9mdWt1b2thX3NoaXJ5b2t1X3N5b2dhaV9jZW50ZXIvMjAyNS8yMDI1MDIxM18wMDAzNwo=,清掃業務委託入札公告（令和７年２月１３日）,国立障害者リハビリテーションセンター自立支援局福岡視力障害センター,40,福岡県,2025,2025-02-13T00:00:00+09:00,https://www.rehab.go.jp/fukuoka/tyotatu/pdf/r06koukoku_4.pdf,,,
YWljaGkva2FyaXlhX2NpdHkvMjAyNC8yMDI0MDQwNF8wMTQ3Nwo=,（2）市道01−21号線他街路樹管理業務委託 （PDF 162.8KB）,愛知県刈谷市,23,愛知県,2024,2024-04-04T00:00:00+09:00,https://www.city.kariya.lg.jp/_res/projects/default_project/_page_/001/006/236/r6-179.pdf,,,
aG9ra2FpZG8vaG9ra2FpZG9fcHJlZi8yMDIyLzIwMjIxMDI2XzAwMDAzCg==,終了しました：【公告】北方領土サポーター制度周知委託業務に係る一般競争入札の実施,北海道,01,北海道,2022,2022-10-26T00:00:00+09:00,https://www.pref.hokkaido.lg.jp/sm/hrt/129525.html,,,
Z292Ni9rYWlob19tbGl0XzAza2Fua3UvMjAyNC8yMDI0MDQyNl8wMTUzNAo=,監視取締艇定検修理（２０２４−０２）,海上保安庁第三管区海上保安本部,14,神奈川県,2024,2024-04-26T00:00:00+09:00,https://www.kaiho.mlit.go.jp/03kanku/nyusatsu/R6_koukoku/sesoko/hune24koukoku.pdf,,,
b3Nha2Evb3Nha2FfY2l0eS8yMDIzLzIwMjMxMTA4XzAwNjI3Cg==,令和5年度大阪市外国語版ホームページ翻訳業務委託,大阪府大阪市,27,大阪府,2023,2023-11-08T00:00:00+09:00,https://www.city.osaka.lg.jp/templates/buppin_nyusatsuanken/cmsfiles/contents/0000611/611377/02_koukokubun(gaikokugo).pdf,,,
Z292Ny9jYnJfbWxpdC8yMDI1LzIwMjUxMjE4XzA0OTc5Cg==,令和８年度 天竜川上流電気通信施設保守業務,国土交通省中部地方整備局,23,愛知県,2025,2025-12-18T00:00:00+09:00,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/data/pdf/YdZOQZV08420251217_25.pdf,,,
Z292MTAvbmVkb19nby8yMDI1LzIwMjUwODAxXzAwMDUwCg==,個室等利用のためのシェアオフィス提供,国立研究開発法人新エネルギー・産業技術総合開発機構,14,神奈川県,2025,2025-08-01T00:00:00+09:00,https://www.nedo.go.jp/content/800029335.pdf,,,
c2VhcmNoL3BfcG9ydGFsLzIwMjUvMDMvMjAyNTAzMTBfMzg2NTIK,令和７年度大阪刑務所職員一般及び特別定期健康診断等業務委託契約,法務省,27,大阪府,2025,2025-03-10T00:00:00+09:00,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,,,
b3Nha2Evc3VpdGFfY2l0eS8yMDIyLzIwMjIwODE5XzAwOTU5Cg==,古江公園便所設置実施設計委託業務,大阪府吹田市,27,大阪府,2022,2022-08-19T00:00:00+09:00,https://www.city.suita.osaka.jp/var/rev0/0607/7518/koukoku_kisibekituennzyo_sekkei.pdf,,,
a2FuYWdhd2EvY3VzdG9tc195b2tvaGFtYS8yMDIyLzIwMjIwNTE2XzAwMjQwCg==,令和４年度第１回社屋状況等調査業務委託（PDF：149KB）,財務省横浜税関,14,神奈川県,2022,2022-05-16T00:00:00+09:00,https://www.customs.go.jp/kyotsu/chotatsu/nyusatsu/n_yokohama/yok-nyusatsu-r04k486.pdf,,,
b3Nha2EvbmN2Yy8yMDI0LzIwMjQwNDA4XzAxMTY2Cg==,「循環器疾患におけるゲノム医療推進のための全国規模プラットフォームの構築」を実施する分担施設における臨床検体測定業務委託契約にかかる入札について,国立研究開発法人国立循環器病研究センター,27,大阪府,2024,2024-04-08T00:00:00+09:00,https://www.ncvc.go.jp/procurement/tender/procurement_42323/,,,
Z292OS9tb2RfcmRiX2t5dXNodS8yMDIyLzIwMjIwMjI1XzAwNDg3Cg==,令和４年度駐留軍等労働者に対する健康診断等に係る業務委託,防衛省九州防衛局,40,福岡県,2022,2022-02-25T00:00:00+09:00,https://www.mod.go.jp/rdb/kyushu/nyuusatsukoukoku/jimusho/sasebo/040225.pdf,,,
c2VhcmNoL3BfcG9ydGFsLzIwMjMvMTAvMjAyMzEwMjVfMTExMjMK,誘導弾の分散制約最適化問題の解法に係る検討役務,防衛省,13,東京都,2023,2023-10-25T00:00:00+09:00,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,,,
aG9ra2FpZG8vaG9ra2FpZG9fcHJlZi8yMDIzLzIwMjMxMDE2XzAwODA2Cg==,「北海道新幹線利用促進プロモーション事業委託業務」に係る一般競争入札の実施について,北海道,01,北海道,2023,2023-10-16T00:00:00+09:00,https://www.pref.hokkaido.lg.jp/ss/stk/167515.html,,,
Z292Ny9jYnJfbWxpdC8yMDIzLzIwMjMwMjI0XzA0NjYwCg==,令和５年度 国道１号箱根エコパーキング清掃作業,国土交通省中部地方整備局,23,愛知県,2023,2023-02-24T00:00:00+09:00,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/r4/230224-hakone-numazu.pdf,,,
aG9ra2FpZG8vcmlrdXppaG9rdWJ1a2Fpa2VpLzIwMjQvMjAyNDEyMThfMDY0NTkK,給食業務部外委託役務,防衛省陸上自衛隊北部方面会計隊本部,01,北海道,2024,2024-12-18T00:00:00+09:00,https://www.mod.go.jp/gsdf/nae/fin/nafin/pdf/public_n/06/12/061218-376-n-kyuushoku.pdf,,,
dG9reW8vdG9reW9rYW5rdV9raXN5b2RhaS8yMDI1LzIwMjUwMTIxXzAwNzcwCg==,東京航空地方気象台 空港気象ドップラーレーダー局舎建築工事監理業務委託,気象庁東京管区気象台,13,東京都,2025,2025-01-21T00:00:00+09:00,https://www.data.jma.go.jp/tokyo/shosai/kaikei/pdf/PDF06/d0631.pdf,,,
Z292NC9qaWxfZ28vMjAyNC8yMDI0MDgyM18wMDMwMwo=,郵送アンケート調査「人材育成と能力開発の現状と課題に関する調査（企業調査）」実施に係る業務委託（PDF:276KB）,独立行政法人労働政策研究・研修機構,13,東京都,2024,2024-08-23T00:00:00+09:00,https://www.jil.go.jp/information/nyusatsu/document/20240823b.pdf,,,
Z292Ny9jYnJfbWxpdC8yMDIyLzIwMjIwMjA4XzAzOTg3Cg==,令和４年度 中部技術橋梁点検車(歩廊式)点検整備,国土交通省中部地方整備局,23,愛知県,2022,2022-02-08T00:00:00+09:00,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/r3/220208-horou-chugi.pdf,,,
Z292My9tb2RfZ3NkZl9lYWVfZWFmaW4vMjAyMi8yMDIyMDgyOV8wOTAwOAo=,［グループ別］ピアノ調律役務ほか,防衛省陸上自衛隊東部方面会計隊,13,東京都,2022,2022-08-29T00:00:00+09:00,https://www.mod.go.jp/gsdf/eae/kaikei/eafin/R4koukoku/20220830-338A-1120.pdf,,,
