prefecture_name,cft_issue_year,organization_name,it_notices,core_it_notices,adjacent_only_notices,system_development,system_services,software_applications,operations_maintenance,cloud,cybersecurity,network_infrastructure,end_user_computing,data_digital,artificial_intelligence,it_consulting_planning,prefecture_year_it_notices,organization_share_percent,rank,prefecture_label,leading_subgroups,leading_subgroup_count
東京都,2023,国立大学法人東京工業大学,8,7,1,3,0,1,3,0,0,3,0,1,0,0,93,8.60215053763441,3,Tokyo,System development | Operations and maintenance | Network infrastructure,3
東京都,2023,防衛省,6,4,2,1,0,0,1,1,0,1,0,1,2,1,93,6.451612903225806,4,Tokyo,Artificial intelligence,2
東京都,2023,防衛省陸上自衛隊東部方面会計隊,6,4,2,3,0,0,1,0,0,0,0,2,0,0,93,6.451612903225806,4,Tokyo,System development,3
神奈川県,2023,防衛省防衛大学校,6,6,0,2,0,1,1,2,0,2,0,0,0,0,15,40.0,1,Kanagawa,System development | Cloud | Network infrastructure,2
神奈川県,2023,海上保安庁第三管区海上保安本部,2,2,0,0,0,0,1,0,0,1,0,0,0,0,15,13.333333333333334,2,Kanagawa,Operations and maintenance | Network infrastructure,1
神奈川県,2023,独立行政法人労働者健康安全機構,2,2,0,0,0,0,1,0,1,0,0,0,0,0,15,13.333333333333334,2,Kanagawa,Operations and maintenance | Cybersecurity,1
神奈川県,2023,独立行政法人国立病院機構横浜市南西部地域中核病院横浜医療センター,2,2,0,0,0,0,2,0,0,0,0,0,0,0,15,13.333333333333334,2,Kanagawa,Operations and maintenance,2
神奈川県,2023,神奈川県秦野市,2,0,2,0,0,0,0,0,0,0,0,2,0,0,15,13.333333333333334,2,Kanagawa,Data and digital,2
福岡県,2023,福岡県,7,5,2,3,0,0,1,1,0,1,0,1,1,0,17,41.17647058823529,1,Fukuoka,System development,3
福岡県,2023,国家公安委員会（警察庁）福岡県警察,3,2,1,0,0,0,1,0,0,1,0,1,0,0,17,17.647058823529413,2,Fukuoka,Operations and maintenance | Network infrastructure | Data and digital,1
福岡県,2023,国土交通省九州地方整備局,1,1,0,1,0,0,1,0,0,0,0,0,0,0,17,5.88235294117647,3,Fukuoka,System development | Operations and maintenance,1
福岡県,2023,国立大学法人九州工業大学,1,0,1,0,0,0,0,0,0,0,0,0,1,0,17,5.88235294117647,3,Fukuoka,Artificial intelligence,1
福岡県,2023,独立行政法人国立病院機構大牟田病院,1,1,0,1,0,0,0,0,0,0,0,0,0,1,17,5.88235294117647,3,Fukuoka,System development | IT consulting and planning,1
福岡県,2023,独立行政法人国立病院機構小倉医療センター,1,1,0,0,0,0,1,0,0,0,0,0,0,0,17,5.88235294117647,3,Fukuoka,Operations and maintenance,1
福岡県,2023,福岡県久留米市,1,0,1,0,0,0,0,0,0,0,0,1,0,0,17,5.88235294117647,3,Fukuoka,Data and digital,1
福岡県,2023,経済産業省,1,0,1,0,0,0,0,0,0,0,0,1,0,0,17,5.88235294117647,3,Fukuoka,Data and digital,1
福岡県,2023,防衛省九州防衛局,1,1,0,0,0,0,1,0,0,1,0,0,0,0,17,5.88235294117647,3,Fukuoka,Operations and maintenance | Network infrastructure,1
北海道,2024,国家公安委員会（警察庁）北海道警察本部会計課,4,4,0,2,0,0,2,0,0,1,0,0,0,0,13,30.76923076923077,1,Hokkaido,System development | Operations and maintenance,2
北海道,2024,北海道,3,3,0,1,0,0,2,0,0,0,0,0,0,0,13,23.076923076923077,2,Hokkaido,Operations and maintenance,2
北海道,2024,財務省,2,2,0,2,0,0,0,0,0,0,0,0,0,0,13,15.384615384615385,3,Hokkaido,System development,2
北海道,2024,防衛省陸上自衛隊北部方面会計隊本部,2,2,0,0,0,2,0,0,0,0,0,0,0,0,13,15.384615384615385,3,Hokkaido,Software and applications,2
北海道,2024,防衛省,1,1,0,0,0,0,1,0,0,1,0,0,0,0,13,7.6923076923076925,5,Hokkaido,Operations and maintenance | Network infrastructure,1
北海道,2024,防衛省陸上自衛隊北海道補給処,1,1,0,1,0,0,0,0,0,0,0,0,0,0,13,7.6923076923076925,5,Hokkaido,System development,1
大阪府,2024,大阪府大阪市,16,11,5,5,4,1,6,1,0,1,0,5,0,0,28,57.14285714285714,1,Osaka,Operations and maintenance,6
大阪府,2024,大阪府箕面市,8,8,0,4,0,2,3,0,0,2,0,0,1,0,28,28.57142857142857,2,Osaka,System development,4
大阪府,2024,法務省,1,1,0,0,0,0,1,0,0,0,0,0,0,0,28,3.571428571428571,3,Osaka,Operations and maintenance,1
大阪府,2024,独立行政法人労働者健康安全機構大阪労災病院,1,1,0,0,0,0,0,0,0,1,0,0,0,0,28,3.571428571428571,3,Osaka,Network infrastructure,1
大阪府,2024,独立行政法人国立病院機構近畿中央呼吸器センター,1,1,0,0,0,0,1,0,0,0,0,0,0,0,28,3.571428571428571,3,Osaka,Operations and maintenance,1
大阪府,2024,防衛省,1,1,0,0,0,0,1,0,0,1,0,0,0,0,28,3.571428571428571,3,Osaka,Operations and maintenance | Network infrastructure,1
愛知県,2024,国立研究開発法人国立長寿医療研究センター,8,8,0,1,0,1,8,0,0,2,0,0,0,0,14,57.14285714285714,1,Aichi,Operations and maintenance,8
愛知県,2024,海上保安庁第四管区海上保安本部,2,2,0,1,0,0,1,0,0,0,0,0,0,0,14,14.285714285714285,2,Aichi,System development | Operations and maintenance,1
